Authors (Year),N(Sample size),NewSID,x,1-PA,2-digitPM,3-nondigitPM,4-digitRAN,5-non-digitRAN,6-mathFluency,7-mathAccuracy,8-basicNumberKnowledge,9-calculation,10-WordProblem,11-VerbalIQ,12-NonverbalIQ,13-Vocabulary ,14-EF,15-Age
Koponen(2016),364,,13-Vocabulary ,,,,,,,0.11,0.25,0.11,,,,1,,
Koponen(2016),364,,14-EF,,,,,,,,,,,,,,1,
Koponen(2016),364,,15-Age,,,,,,,,,,,,,,,
Koponen(2016),362,yxj77_2,1-PA,1,,,,,,,,,,,,,,
Koponen(2016),362,,2-digitPM,,1,,,,,,,,,,,,,
Koponen(2016),362,,3-nondigitPM,,,1,,,,,,,,,,,,
Koponen(2016),362,,4-digitRAN,,,,1,,,,,,,,,,,
Koponen(2016),362,,5-non-digitRAN,,,,,1,,,,,,,,,,
Koponen(2016),362,,6-mathFluency,0.21,0.17,,0.36,,1,,,,,,,,,
Koponen(2016),362,,7-mathAccuracy,,,,,,,1,,,,,,,,
Koponen(2016),362,,8-basicNumberKnowledge,,,,,,,0.35,1,,,,,,,
Koponen(2016),362,,9-calculation,0.21,0.17,,0.36,,,,0.35,1,,,,,,
Koponen(2016),362,,10-WordProblem,,,,,,,,,,1,,,,,
Koponen(2016),362,,11-VerbalIQ,,,,,,,,,,,1,,,,
Koponen(2016),362,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Koponen(2016),362,,13-Vocabulary ,,,,,,,0.11,0.25,0.11,,,,1,,
Koponen(2016),362,,14-EF,,,,,,,,,,,,,,1,
Koponen(2016),362,,15-Age,,,,,,,,,,,,,,,
Korhonen(2018),613,yxj78,1-PA,1,,,,,,,,,,,,,,
Korhonen(2018),613,,2-digitPM,,1,,,,,,,,,,,,,
Korhonen(2018),613,,3-nondigitPM,,,1,,,,,,,,,,,,
Korhonen(2018),613,,4-digitRAN,,,,1,,,,,,,,,,,
Korhonen(2018),613,,5-non-digitRAN,,,,,1,,,,,,,,,,
Korhonen(2018),613,,6-mathFluency,,,,,,1,,,,,,,,,
Korhonen(2018),613,,7-mathAccuracy,,0.23,,,,,1,,,,,,,,
Korhonen(2018),613,,8-basicNumberKnowledge,,0.21,,,,,,1,,,,,,,
Korhonen(2018),613,,9-calculation,,0.21,,,,,,,1,,,,,,
Korhonen(2018),613,,10-WordProblem,,0.19,,,,,,,,1,,,,,
Korhonen(2018),613,,11-VerbalIQ,,,,,,,,,,,1,,,,
Korhonen(2018),613,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Korhonen(2018),613,,13-Vocabulary ,,,,,,,,,,,,,1,,
Korhonen(2018),613,,14-EF,,,,,,,,,,,,,,1,
Korhonen(2018),613,,15-Age,,,,,,,,,,,,,,,
Krajewski(2009),108,yxj79,1-PA,1,,,,,,,,,,,,,,
Krajewski(2009),108,,2-digitPM,0.44,1,,,,,,,,,,,,,
Krajewski(2009),108,,3-nondigitPM,,,1,,,,,,,,,,,,
Krajewski(2009),108,,4-digitRAN,,,,,,,,,,,,,,,
Krajewski(2009),108,,5-non-digitRAN,,,,,1,,,,,,,,,,
Krajewski(2009),108,,6-mathFluency,,,,,,1,,,,,,,,,
Krajewski(2009),108,,7-mathAccuracy,0.47,0.35,,,,,1,,,,,,,,
Krajewski(2009),108,,8-basicNumberKnowledge,0.43,0.37,,,,,,1,,,,,,,
Krajewski(2009),108,,9-calculation,0.45,,,,,,,,1,,,,,,
Krajewski(2009),108,,10-WordProblem,,,,,,,,,,1,,,,,
Krajewski(2009),108,,11-VerbalIQ,,,,,,,,,,,1,,,,
Krajewski(2009),108,,12-nonverbalIQ,0.48,0.27,,,,,0.42,0.4,0.45,,,1,,,
Krajewski(2009),108,,13-Vocabulary ,,,,,,,,,,,,,1,,
Krajewski(2009),108,,14-EF,,,,,,,,,,,,,,1,
Krajewski(2009),108,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,193,yxj80_1,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,193,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,193,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,193,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,193,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,193,,6-mathFluency,0.493,,,,,1,,,,,,,,,
Martin(2011)unpublished,193,,7-mathAccuracy,0.512,,,,,,1,,,,,,,,
Martin(2011)unpublished,193,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Martin(2011)unpublished,193,,9-calculation,0.5912,,,,,,,,1,,,,,,
Martin(2011)unpublished,193,,10-WordProblem,0.638,,,,,,,,,1,,,,,
Martin(2011)unpublished,193,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,193,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,193,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,193,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,193,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,93,yxj80_2,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,93,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,93,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,93,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,93,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,93,,6-mathFluency,0.39,,,,,1,,,,,,,,,
Martin(2011)unpublished,93,,7-mathAccuracy,,,,,,,1,,,,,,,,
Martin(2011)unpublished,93,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Martin(2011)unpublished,93,,9-calculation,0.39,,,,,,,,1,,,,,,
Martin(2011)unpublished,93,,10-WordProblem,,,,,,,,,,1,,,,,
Martin(2011)unpublished,93,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,93,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,93,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,93,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,93,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,76,yxj80_3,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,76,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,76,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,76,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,76,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,76,,6-mathFluency,0.32,,,,,1,,,,,,,,,
Martin(2011)unpublished,76,,7-mathAccuracy,,,,,,,1,,,,,,,,
Martin(2011)unpublished,76,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Martin(2011)unpublished,76,,9-calculation,0.32,,,,,,,,1,,,,,,
Martin(2011)unpublished,76,,10-WordProblem,,,,,,,,,,1,,,,,
Martin(2011)unpublished,76,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,76,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,76,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,76,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,76,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,305,yxj80_4,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,305,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,305,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,305,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,305,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,305,,6-mathFluency,,,,,,1,,,,,,,,,
Martin(2011)unpublished,305,,7-mathAccuracy,0.365,,,,,,1,,,,,,,,
Martin(2011)unpublished,305,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Martin(2011)unpublished,305,,9-calculation,,,,,,,,,1,,,,,,
Martin(2011)unpublished,305,,10-WordProblem,0.365,,,,,,,,,1,,,,,
Martin(2011)unpublished,305,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,305,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,305,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,305,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,305,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,70,yxj80_5,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,70,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,70,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,70,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,70,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,70,,6-mathFluency,,,,,,1,,,,,,,,,
Martin(2011)unpublished,70,,7-mathAccuracy,0.34,0.11,,,,,1,,,,,,,,
Martin(2011)unpublished,70,,8-basicNumberKnowledge,0.34,0.11,,,,,,1,,,,,,,
Martin(2011)unpublished,70,,9-calculation,,,,,,,,,1,,,,,,
Martin(2011)unpublished,70,,10-WordProblem,,,,,,,,,,1,,,,,
Martin(2011)unpublished,70,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,70,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,70,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,70,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,70,,15-Age,,,,,,,,,,,,,,,
Martin(2011)unpublished,88,yxj80_6,1-PA,1,,,,,,,,,,,,,,
Martin(2011)unpublished,88,,2-digitPM,,1,,,,,,,,,,,,,
Martin(2011)unpublished,88,,3-nondigitPM,,,1,,,,,,,,,,,,
Martin(2011)unpublished,88,,4-digitRAN,,,,1,,,,,,,,,,,
Martin(2011)unpublished,88,,5-non-digitRAN,,,,,1,,,,,,,,,,
Martin(2011)unpublished,88,,6-mathFluency,,,,,,1,,,,,,,,,
Martin(2011)unpublished,88,,7-mathAccuracy,0.4,0.2,,,,,1,,,,,,,,
Martin(2011)unpublished,88,,8-basicNumberKnowledge,0.4,0.2,,,,,,1,,,,,,,
Martin(2011)unpublished,88,,9-calculation,,,,,,,,,1,,,,,,
Martin(2011)unpublished,88,,10-WordProblem,,,,,,,,,,1,,,,,
Martin(2011)unpublished,88,,11-VerbalIQ,,,,,,,,,,,1,,,,
Martin(2011)unpublished,88,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Martin(2011)unpublished,88,,13-Vocabulary ,,,,,,,,,,,,,1,,
Martin(2011)unpublished,88,,14-EF,,,,,,,,,,,,,,1,
Martin(2011)unpublished,88,,15-Age,,,,,,,,,,,,,,,
Swanson(2006),320,yxj81,1-PA,1,,,,,,,,,,,,,,
Swanson(2006),320,,2-digitPM,,1,,,,,,,,,,,,,
Swanson(2006),320,,3-nondigitPM,0.56,,1,,,,,,,,,,,,
Swanson(2006),320,,4-digitRAN,,,,1,,,,,,,,,,,
Swanson(2006),320,,5-non-digitRAN,,,,,1,,,,,,,,,,
Swanson(2006),320,,6-mathFluency,,0.41,,,,1,,,,,,,,,
Swanson(2006),320,,7-mathAccuracy,,0.42,,,,,1,,,,,,,,
Swanson(2006),320,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Swanson(2006),320,,9-calculation,0.44,0.41,,,,,,,1,,,,,,
Swanson(2006),320,,10-WordProblem,0.44,0.42,,,,,,,,1,,,,,
Swanson(2006),320,,11-VerbalIQ,,,,,,,,,,,1,,,,
Swanson(2006),320,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Swanson(2006),320,,13-Vocabulary ,0.69,,,,,,0.61,,0.63,0.59,,,1,,
Swanson(2006),320,,14-EF,0.48,,,,,,0.515,,0.58,0.45,,,0.42,1,
Swanson(2006),320,,15-Age,,,,,,,,,,,,,,,
Zheng(2011),310,yxj82,1-PA,1,,,,,,,,,,,,,,
Zheng(2011),310,,2-digitPM,,1,,,,,,,,,,,,,
Zheng(2011),310,,3-nondigitPM,,,1,,,,,,,,,,,,
Zheng(2011),310,,4-digitRAN,,,,1,,,,,,,,,,,
Zheng(2011),310,,5-non-digitRAN,,,,,1,,,,,,,,,,
Zheng(2011),310,,6-mathFluency,,,,,,1,,,,,,,,,
Zheng(2011),310,,7-mathAccuracy,,0.2625,0.32,,,,1,,,,,,,,
Zheng(2011),310,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Zheng(2011),310,,9-calculation,,0.305,0.385,,,,,,1,,,,,,
Zheng(2011),310,,10-WordProblem,,0.22,0.255,,,,,,,1,,,,,
Zheng(2011),310,,11-VerbalIQ,,,,,,,,,,,1,,,,
Zheng(2011),310,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Zheng(2011),310,,13-Vocabulary ,,,,,,,,,,,,,1,,
Zheng(2011),310,,14-EF,,,,,,,,,,,,,,1,
Zheng(2011),310,,15-Age,,0.17,0.19,,,,,,,,,,,,
Vauras et al (1999),181,yxj83,1-PA,1,,,,,,,,,,,,,,
Vauras et al (1999),181,,2-digitPM,,1,,,,,,,,,,,,,
Vauras et al (1999),181,,3-nondigitPM,,,1,,,,,,,,,,,,
Vauras et al (1999),181,,4-digitRAN,,,,1,,,,,,,,,,,
Vauras et al (1999),181,,5-non-digitRAN,,,,,1,,,,,,,,,,
Vauras et al (1999),181,,6-mathFluency,,,,,,1,,,,,,,,,
Vauras et al (1999),181,,7-mathAccuracy,,0.14,,,,,1,,,,,,,,
Vauras et al (1999),181,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Vauras et al (1999),181,,9-calculation,,,,,,,,,1,,,,,,
Vauras et al (1999),181,,10-WordProblem,,0.14,,,,,,,,1,,,,,
Vauras et al (1999),181,,11-VerbalIQ,,,,,,,,,,,1,,,,
Vauras et al (1999),181,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Vauras et al (1999),181,,13-Vocabulary ,,,,,,,,,,,,,1,,
Vauras et al (1999),181,,14-EF,,,,,,,,,,,,,,1,
Vauras et al (1999),181,,15-Age,,,,,,,,,,,,,,,
Swanson(2011),104,yxj84,1-PA,1,,,,,,,,,,,,,,
Swanson(2011),104,,2-digitPM,,1,,,,,,,,,,,,,
Swanson(2011),104,,3-nondigitPM,,,1,,,,,,,,,,,,
Swanson(2011),104,,4-digitRAN,,,,1,,,,,,,,,,,
Swanson(2011),104,,5-non-digitRAN,,,,,1,,,,,,,,,,
Swanson(2011),104,,6-mathFluency,0.79,,,,,1,,,,,,,,,
Swanson(2011),104,,7-mathAccuracy,,,,,,,1,,,,,,,,
Swanson(2011),104,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Swanson(2011),104,,9-calculation,0.71,,,,,,,,1,,,,,,
Swanson(2011),104,,10-WordProblem,0.74,,,,,,,,0.75,1,,,,,
Swanson(2011),104,,11-VerbalIQ,,,,,,,,,,,1,,,,
Swanson(2011),104,,12-nonverbalIQ,0.55,,,,,,,,0.56,0.47,,1,,,
Swanson(2011),104,,13-Vocabulary ,,,,,,,,,,,,,1,,
Swanson(2011),104,,14-EF,0.57,,,,,,,,,,,,,1,
Swanson(2011),104,,15-Age,0.11,,,,,,,,-0.002,-0.04,,,,,
Price (2016),150,yxj85,1-PA,1,,,,,,,,,,,,,,
Price (2016),150,,2-digitPM,,1,,,,,,,,,,,,,
Price (2016),150,,3-nondigitPM,,,1,,,,,,,,,,,,
Price (2016),150,,4-digitRAN,,,,1,,,,,,,,,,,
Price (2016),150,,5-non-digitRAN,,,,,1,,,,,,,,,,
Price (2016),150,,6-mathFluency,,,,,,1,,,,,,,,,
Price (2016),150,,7-mathAccuracy,,,0.233,,,,1,,,,,,,,
Price (2016),150,,8-basicNumberKnowledge,,,0.233,,,,,1,,,,,,,
Price (2016),150,,9-calculation,,,,,,,,,1,,,,,,
Price (2016),150,,10-WordProblem,,,,,,,,,,1,,,,,
Price (2016),150,,11-VerbalIQ,,,,,,,,,,,1,,,,
Price (2016),150,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Price (2016),150,,13-Vocabulary ,,,,,,,,,,,,,1,,
Price (2016),150,,14-EF,,,,,,,,,,,,,,1,
Price (2016),150,,15-Age,,,,,,,,,,,,,,,
Filippetti (2017),118,yxj86,1-PA,1,,,,,,,,,,,,,,
Filippetti (2017),118,,2-digitPM,,1,,,,,,,,,,,,,
Filippetti (2017),118,,3-nondigitPM,,,1,,,,,,,,,,,,
Filippetti (2017),118,,4-digitRAN,,,,1,,,,,,,,,,,
Filippetti (2017),118,,5-non-digitRAN,,,,,1,,,,,,,,,,
Filippetti (2017),118,,6-mathFluency,,,,,,1,,,,,,,,,
Filippetti (2017),118,,7-mathAccuracy,,0.595,,,,,1,,,,,,,,
Filippetti (2017),118,,8-basicNumberKnowledge,,0.596,,,,,,1,,,,,,,
Filippetti (2017),118,,9-calculation,,,,,,,,,1,,,,,,
Filippetti (2017),118,,10-WordProblem,,0.59,,,,,,,,1,,,,,
Filippetti (2017),118,,11-VerbalIQ,,0.1,,,,,,,,0.4,1,,,,
Filippetti (2017),118,,12-nonverbalIQ,,0.1,,,,,,,,0.25,,1,,,
Filippetti (2017),118,,13-Vocabulary ,,0.25,,,,,,,,0.4,,,1,,
Filippetti (2017),118,,14-EF,,0.336,,,,,,,,0.4025,,0.38,,1,
Filippetti (2017),118,,15-Age,,,,,,,,,,,,,,,
Bull (2018),75,yxj87,1-PA,1,,,,,,,,,,,,,,
Bull (2018),75,,2-digitPM,,1,,,,,,,,,,,,,
Bull (2018),75,,3-nondigitPM,,,1,,,,,,,,,,,,
Bull (2018),75,,4-digitRAN,,,,1,,,,,,,,,,,
Bull (2018),75,,5-non-digitRAN,,,,,1,,,,,,,,,,
Bull (2018),75,,6-mathFluency,,,,,,1,,,,,,,,,
Bull (2018),75,,7-mathAccuracy,,,,,,,1,,,,,,,,
Bull (2018),75,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Bull (2018),75,,9-calculation,,,,,,,,,1,,,,,,
Bull (2018),75,,10-WordProblem,,,,,,,,,,1,,,,,
Bull (2018),75,,11-VerbalIQ,,,,,,,,,,,1,,,,
Bull (2018),75,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Bull (2018),75,,13-Vocabulary ,,,,,,,,,,,,,1,,
Bull (2018),75,,14-EF,,,,,,,,,,,,,,1,
Bull (2018),75,,15-Age,,,,,,,,,,,,,,,
Yang  (2019)unpublished,86,yxj88,1-PA,1,,,,,,,,,,,,,,
Yang  (2019)unpublished,86,,2-digitPM,,1,,,,,,,,,,,,,
Yang  (2019)unpublished,86,,3-nondigitPM,,,1,,,,,,,,,,,,
Yang  (2019)unpublished,86,,4-digitRAN,0.38,,,1,,,,,,,,,,,
Yang  (2019)unpublished,86,,5-non-digitRAN,,,,,1,,,,,,,,,,
Yang  (2019)unpublished,86,,6-mathFluency,0.21,,,0.41,,1,,,,,,,,,
Yang  (2019)unpublished,86,,7-mathAccuracy,,,,,,,1,,,,,,,,
Yang  (2019)unpublished,86,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Yang  (2019)unpublished,86,,9-calculation,0.21,,,0.41,,,,,1,,,,,,
Yang  (2019)unpublished,86,,10-WordProblem,,,,,,,,,,1,,,,,
Yang  (2019)unpublished,86,,11-VerbalIQ,,,,,,,,,,,1,,,,
Yang  (2019)unpublished,86,,12-nonverbalIQ,0.26,,,0.27,,0.41,,,0.41,,,1,,,
Yang  (2019)unpublished,86,,13-Vocabulary ,0.32,,,0.46,,0.41,,,0.41,,,,1,,
Yang  (2019)unpublished,86,,14-EF,0.16,,,0.33,,0.25,,,0.25,,,0.31,0.09,1,
Yang  (2019)unpublished,86,,15-Age,-0.1,,,-0.16,,0.38,,,0.38,,,0.21,0.3,,
Holmes (2016)unpublished,148,yxj89,1-PA,1,,,,,,,,,,,,,,
Holmes (2016)unpublished,148,,2-digitPM,,1,,,,,,,,,,,,,
Holmes (2016)unpublished,148,,3-nondigitPM,,,1,,,,,,,,,,,,
Holmes (2016)unpublished,148,,4-digitRAN,,,,1,,,,,,,,,,,
Holmes (2016)unpublished,148,,5-non-digitRAN,,,,,1,,,,,,,,,,
Holmes (2016)unpublished,148,,6-mathFluency,,,,,,1,,,,,,,,,
Holmes (2016)unpublished,148,,7-mathAccuracy,,,,,,,1,,,,,,,,
Holmes (2016)unpublished,148,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Holmes (2016)unpublished,148,,9-calculation,,,0.15,,,,,,1,,,,,,
Holmes (2016)unpublished,148,,10-WordProblem,,,,,,,,,,1,,,,,
Holmes (2016)unpublished,148,,11-VerbalIQ,,,,,,,,,,,1,,,,
Holmes (2016)unpublished,148,,12-nonverbalIQ,,,,,,,,,,,,1,,,
Holmes (2016)unpublished,148,,13-Vocabulary ,,,,,,,,,,,,,1,,
Holmes (2016)unpublished,148,,14-EF,,,,,,,,,,,,,,1,
Holmes (2016)unpublished,148,,15-Age,,,,,,,,,,,,,,,
Zhou (2015),120,yxj90_1,1-PA,1,,,,,,,,,,,,,,
Zhou (2015),120,,2-digitPM,,1,,,,,,,,,,,,,
Zhou (2015),120,,3-nondigitPM,,,1,,,,,,,,,,,,
Zhou (2015),120,,4-digitRAN,,,,1,,,,,,,,,,,
Zhou (2015),120,,5-non-digitRAN,,,,,1,,,,,,,,,,
Zhou (2015),120,,6-mathFluency,,0.3,,,,1,,,,,,,,,
Zhou (2015),120,,7-mathAccuracy,,0.07,,,,,1,,,,,,,,
Zhou (2015),120,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Zhou (2015),120,,9-calculation,,0.3,,,,,,,1,,,,,,
Zhou (2015),120,,10-WordProblem,,,,,,,,,,1,,,,,
Zhou (2015),120,,11-VerbalIQ,,,,,,,,,,,1,,,,
Zhou (2015),120,,12-nonverbalIQ,,0.1,,,,0.25,,,0.25,,,1,,,
Zhou (2015),120,,13-Vocabulary ,,,,,,,,,,,,,1,,
Zhou (2015),120,,14-EF,,,,,,,,,,,,,,1,
Zhou (2015),120,,15-Age,,,,,,,,,,,,,,,
Zhou (2015),146,yxj90_2,1-PA,1,,,,,,,,,,,,,,
Zhou (2015),146,,2-digitPM,,1,,,,,,,,,,,,,
Zhou (2015),146,,3-nondigitPM,,,1,,,,,,,,,,,,
Zhou (2015),146,,4-digitRAN,,,,1,,,,,,,,,,,
Zhou (2015),146,,5-non-digitRAN,,,,,1,,,,,,,,,,
Zhou (2015),146,,6-mathFluency,,0.24,,,,1,,,,,,,,,
Zhou (2015),146,,7-mathAccuracy,,0.07,,,,,1,,,,,,,,
Zhou (2015),146,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Zhou (2015),146,,9-calculation,,0.24,,,,,,,1,,,,,,
Zhou (2015),146,,10-WordProblem,,,,,,,,,,1,,,,,
Zhou (2015),146,,11-VerbalIQ,,,,,,,,,,,1,,,,
Zhou (2015),146,,12-nonverbalIQ,,0.02,,,,0.28,,,0.28,,,1,,,
Zhou (2015),146,,13-Vocabulary ,,,,,,,,,,,,,1,,
Zhou (2015),146,,14-EF,,,,,,,,,,,,,,1,
Zhou (2015),146,,15-Age,,,,,,,,,,,,,,,
Zhou (2015),158,yxj90_3,1-PA,1,,,,,,,,,,,,,,
Zhou (2015),158,,2-digitPM,,1,,,,,,,,,,,,,
Zhou (2015),158,,3-nondigitPM,,,1,,,,,,,,,,,,
Zhou (2015),158,,4-digitRAN,,,,1,,,,,,,,,,,
Zhou (2015),158,,5-non-digitRAN,,,,,1,,,,,,,,,,
Zhou (2015),158,,6-mathFluency,,0.08,,,,1,,,,,,,,,
Zhou (2015),158,,7-mathAccuracy,,0.21,,,,,1,,,,,,,,
Zhou (2015),158,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Zhou (2015),158,,9-calculation,,0.08,,,,,,,1,,,,,,
Zhou (2015),158,,10-WordProblem,,,,,,,,,,1,,,,,
Zhou (2015),158,,11-VerbalIQ,,,,,,,,,,,1,,,,
Zhou (2015),158,,12-nonverbalIQ,,0.11,,,,0.2,,,0.2,,,1,,,
Zhou (2015),158,,13-Vocabulary ,,,,,,,,,,,,,1,,
Zhou (2015),158,,14-EF,,,,,,,,,,,,,,1,
Zhou (2015),158,,15-Age,,,,,,,,,,,,,,,
Swanson(2004),353,yxj91,1-PA,1,,,,,,,,,,,,,,
Swanson(2004),353,,2-digitPM,,1,,,,,,,,,,,,,
Swanson(2004),353,,3-nondigitPM,,,1,,,,,,,,,,,,
Swanson(2004),353,,4-digitRAN,0.6,,,1,,,,,,,,,,,
Swanson(2004),353,,5-non-digitRAN,,,,,1,,,,,,,,,,
Swanson(2004),353,,6-mathFluency,,,,,,1,,,,,,,,,
Swanson(2004),353,,7-mathAccuracy,0.63,,,0.58,,,1,,,,,,,,
Swanson(2004),353,,8-basicNumberKnowledge,,,,,,,,1,,,,,,,
Swanson(2004),353,,9-calculation,0.62,,,0.63,,,0.65,,1,,,,,,
Swanson(2004),353,,10-WordProblem,0.63,,,0.58,,,,,0.65,1,,,,,
Swanson(2004),353,,11-VerbalIQ,,,,,,,,,,,1,,,,
Swanson(2004),353,,12-nonverbalIQ,0.51,,,0.42,,,0.58,,0.55,0.58,,1,,,
Swanson(2004),353,,13-Vocabulary ,,,,,,,,,,,,,1,,
Swanson(2004),353,,14-EF,0.28,,,0.3,,,0.31,,0.25,0.31,,0.27,,1,
Swanson(2004),353,,15-Age,,,,,,,,,,,,,,,
zhang et al (2017),378,yxj92,1-PA,1,,,,,,,,,,,,,,
zhang et al (2017),378,,2-digitPM,0.25,1,,,,,,,,,,,,,
zhang et al (2017),378,,3-nondigitPM,,,1,,,,,,,,,,,,
zhang et al (2017),378,,4-digitRAN,,,,1,,,,,,,,,,,
zhang et al (2017),378,,5-non-digitRAN,0.24,0.14,,,1,,,,,,,,,,
zhang et al (2017),378,,6-mathFluency,,,,,,1,,,,,,,,,
zhang et al (2017),378,,7-mathAccuracy,0.165,0.1725,,,0.26,,1,,,,,,,,
zhang et al (2017),378,,8-basicNumberKnowledge,0.18,0.195,,,0.255,,,1,,,,,,,
zhang et al (2017),378,,9-calculation,0.14,0.15,,,0.3,,,,1,,,,,,
zhang et al (2017),378,,10-WordProblem,0.16,0.15,,,0.23,,,,0.69,1,,,,,
zhang et al (2017),378,,11-VerbalIQ,,,,,,,,,,,1,,,,
zhang et al (2017),378,,12-nonverbalIQ,,,,,,,,,,,,1,,,
zhang et al (2017),378,,13-Vocabulary ,,,,,,,,,,,,,,1,
zhang et al (2017),378,,14-EF,,,,,,,,,,,,,,,
zhang et al (2017),378,,15-Age,,,,,,,,,,,,,,,
Korpipaa(2017),1335,yxj93,1-PA,1,,,,,,,,,,,,,,
Korpipaa(2017),1335,,2-digitPM,,1,,,,,,,,,,,,,
Korpipaa(2017),1335,,3-nondigitPM,,,1,,,,,,,,,,,,
Korpipaa(2017),1335,,4-digitRAN,,,,1,,,,,,,,,,,
Korpipaa(2017),1335,,5-non-digitRAN,,,,,1,,,,,,,,,,
Korpipaa(2017),1335,,6-mathFluency,,,,,,1,,,,,,,,,
Korpipaa(2017),1335,,7-mathAccuracy,,,,,,,1,,,,,,,,
Korpipaa(2017),1335,,8-basicNumberKnowledge,0.38,,,,0.25,,,1,,,,,,,
Korpipaa(2017),1335,,9-calculation,0.19,,,,0.245,,,0.42,1,,,,,,
